copyright,falsePositive
copyright/agent_tests/Unit/test_copyright src/delagent/agent/delagent src/demomod/agent/demomod src/lib/c/fossconfigTest src/lib/c/libdb.patch src/lib/c/reppath src/lib/c/sqlCopyTest src/lib/c/tests/lib-c-Listing.xml src/lib/c/tests/lib-c-Results.xml src/lib/c/tests/testlibs src/lib/cpp/tests/test_l,1
copyright/VERSION-copyright src/spdx2/agent_tests/Functional/spdx-tools-2.0.2-jar-with-dependencies.jar* src/spdx2/agent/version.php src/unifiedreport/agent/version.php src/spdx2/agent/spdx2 src/reportImport/agent/spdx2Import src/reportImport/agent/version.php src/reportImport/agent/reportImport,1
copyright_list src/cli/fo_folder src/cli/fo_nomos_license_list src/cli/fo_wrapper.php src/cli/fossjobs src/cli/fossjobs.1 src/cli/fossjobs.html src/cli/fossjobs.txt src/cli/schema-export src/cli/tests/cli-Xunit.xml src/cli/testupdate2.php src/cli/fo_import_licenses src/cli/fo_usergroup src/cli/fossu,1
copyright/VERSION-keyword,1
copyright/VERSION-ecc,1
copyright/agent/ecc,1
copyright/agent/copyright,1
© Fossology contributors,0
copyright/agent/keyword,1
copyright/agent_tests/Functional/copyright,1
© 2021 Avinal Kumar <avinal.xlvii@gmail.com> SPDX-License-Identifier: GPL-2.0-only AND LGPL-2.1-only,0
© 2021 Gaurav Mishra <mishra.gaurav@siemens.com>,0
© 2021 Avinal Kumar <avinal.xlvii@gmail.com>,0
© Gaurav Mishra <mishra.gaurav@siemens.com>,0
© 2021 Siemens AG,0
© 2022 Siemens AG,0
"copyright/ src/decider*/ src/lib/ src/monk/ src/nomos/ src/readmeoss/ src/spdx2/ src/www/ || echo -e ""\033[0;31mDuplication detected: Task Failed""",1
copyright/VERSION-ipra src/spdx2/agent_tests/Functional/tools-java-*-jar-with-dependencies.jar src/spdx2/agent/version.php src/unifiedreport/agent/unifiedreport src/unifiedreport/agent/version.php src/spdx2/agent/spdx2 src/reportImport/agent/spdx2Import src/reportImport/agent/version.php src/re,1
copyright/agent_tests/Unit/test_copyright,1
copyright/agent/ipra,1
copyright/agent/fo_unicode_clean,1
copyright/agent_tests/results src/decider/agent/decider src/decider/agent/version.php src/deciderjob/agent/deciderjob src/deciderjob/agent/version.php src/decisionexporter/agent/decisionexporter src/decisionexporter/agent/version.php src/decisionimporter/agent/decisionimporter src/decisionimporter/a,1
copyright/VERSION-copyright,1
© 2021 Siemens AG Author: Gaurav Mishra <mishra.gaurav@siemens.com>,0
Copyright: Fossology contributors License: GPL-2.0-only,0
copyright/agent_tests/testdata/*,1
"copyright-format/1.0/ Upstream-Name: FOSSology Source: https://github.com/fossology/fossology/ Upstream-Contact: FOSSology <fossology@fossology.org> Disclaimer: <text> This file is offered as-is, without any warranty. </text>",1
© 2014-2021 Siemens AG,0
copyright): JSON output 956855f` feat(monk): JSON output 2a397af` feat(nomos): JSON output 5439978` feat(obligations): extend datamodel and obligation management,1
copyright): also show deactivated copyrights in the UI eb6f19e` feat(spdx2): bump output version from 2.0 to 2.1 27225f4` feat(spdx2): strip invalid characters from non-spdx-compatible licenses fb99c54` feat(docker-compose): increase apache verbosity,1
"copyright): split tables, separate tables for copyright and email,author,url 97fe4c4` feat(dashboard): add PHP info table 6fa1479` feat(delete): allow deletion of multiple uploads d88a645` feat(delete): add select2 to folder select c946064` feat(organize): allow searching for folders to",1
copyright): Fix copyright_decision table d7cd66c` fix(upload-file): get distinct of groupid to insert in perm upload table d76a643` fix(reuser): remove warnings and errors with testcases for reuse 1d6ff8e` fix(unifiedreport): Global license appears twice in Main license section 9269a36`,1
Copyrights,1
copyrights,1
copyright-hist a1b818a` fix(docker): use debian 8.8 for images ecfefea` fix(delagent): remove unused variables 15f748a` fix(obligations): reintegrate lost changes 0cf4c7d` fix(folder-deletion): don't delete duplicate files in other folder ... 3105198` fix(licenseView): display clearin,1
"copyright): split copyright histogram to seperate copyrights hist and email,author,url hist 21c2787` feat(GUI): yellow flag for files with decision type ""To Be Determined"" a77cba4` feat(select-searchbar): add select2 searchbar",1
copyright): allow to have multiple copyright decisions 7bc2e43` feat(treeView): add operation to make multiple files irrelevant 4716837` feat(backup): add s3 backup and restore b69a771` feat(spdx2): add name field to extracted license info,1
